started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
1160787,1162421,-1994.3215216154588,-3476.932805400522,-4214.829945059849,1013.5580839200984,W24778
1166475,1167906,-4214.829945059849,1013.5580839200984,259.6198942404481,1818.615971114648,W24778
1170603,1171596,259.6198942404481,1818.615971114648,-2450.1589905827414,1407.2928387603392,W24778
1174406,1175988,-2450.1589905827414,1407.2928387603392,-912.0125818422052,1947.857150184919,W24778
1190861,1191356,-912.0125818422052,1947.857150184919,-2524.594292383785,1823.5140002958813,W24778
1252547,1253204,-2524.594292383785,1823.5140002958813,-843.6894071192287,220.42732905849545,W24778
1331123,1331971,1017.9191426354972,2436.9921552089254,-1369.0198339983065,1373.3405910290935,W24778
1346558,1346932,-1369.0198339983065,1373.3405910290935,-2792.164519531742,1461.727753976022,W24778
1363729,1363894,-2792.164519531742,1461.727753976022,-2417.219257666417,1540.3188585612754,W24778
1388530,1388975,-2417.219257666417,1540.3188585612754,-2354.6709182688887,2716.8477315926184,W24778
1406177,1406349,-2354.6709182688887,2716.8477315926184,-2434.4542367719587,2130.308737174774,W24778
1406787,1407465,-2434.4542367719587,2130.308737174774,-2259.436558225718,2967.9830459613117,W24778
1424983,1425603,-2259.436558225718,2967.9830459613117,-2604.841974791065,587.31822633261,W24778
1615866,1617933,-2604.841974791065,587.31822633261,2049.325672781144,-9.239464137182011,W24778
1624736,1625418,2049.325672781144,-9.239464137182011,-570.845296965312,382.6028703385173,W24778
1637077,1637897,-570.845296965312,382.6028703385173,-2417.219257666417,1540.3188585612754,W24778
1659520,1659813,-2417.219257666417,1540.3188585612754,-2808.1861045329406,513.9591074636016,W24778
1687502,1687770,-2808.1861045329406,513.9591074636016,-2605.26842578739,-423.4568864618599,W24778
1765527,1772408,-2605.26842578739,-423.4568864618599,-2605.26842578739,-423.4568864618599,W24778
1865281,1867715,-2605.26842578739,-423.4568864618599,-2605.26842578739,-423.4568864618599,W24778
1868067,1868513,-2605.26842578739,-423.4568864618599,-2605.26842578739,-423.4568864618599,W24778
1875575,1881509,-2605.26842578739,-423.4568864618599,-2605.26842578739,-423.4568864618599,W24778
2214021,2218004,-2605.26842578739,-423.4568864618599,-2605.26842578739,-423.4568864618599,W24778
2222657,2224052,-2605.26842578739,-423.4568864618599,933.1862516873412,-1937.9287301948511,W24778
2226644,2227785,933.1862516873412,-1937.9287301948511,1244.6201406197797,1024.896740019206,W24778
2297854,2301548,1244.6201406197797,1024.896740019206,1572.4295790921033,412.8815961838383,W24778
2467798,2468968,-543.4342390331508,1377.793344829783,-570.845296965312,382.6028703385173,W24778
2557030,2557426,-570.845296965312,382.6028703385173,-1051.840396051375,-834.0564463237743,W24778
2559395,2559820,-1051.840396051375,-834.0564463237743,-570.845296965312,382.6028703385173,W24778
